E /V	I /uA	I /uA
0.088	-20.276	-18.430
0.089	-20.204	-18.357
0.090	-20.129	-18.284
0.091	-20.055	-18.208
0.092	-19.978	-18.127
0.093	-19.897	-18.042
0.094	-19.817	-17.958
0.095	-19.732	-17.882
0.096	-19.648	-17.806
0.097	-19.562	-17.721
0.098	-19.476	-17.632
0.099	-19.388	-17.546
0.100	-19.298	-17.462
0.101	-19.209	-17.374
0.102	-19.118	-17.278
0.103	-19.021	-17.184
0.104	-18.918	-17.090
0.105	-18.814	-16.993
0.106	-18.708	-16.892
0.107	-18.598	-16.786
0.108	-18.481	-16.678
0.109	-18.363	-16.568
0.110	-18.254	-16.455
0.111	-18.140	-16.341
0.112	-18.019	-16.222
0.113	-17.891	-16.102
0.114	-17.764	-15.981
0.115	-17.637	-15.856
0.116	-17.503	-15.727
0.117	-17.361	-15.593
0.118	-17.211	-15.458
0.119	-17.065	-15.316
0.120	-16.921	-15.172
0.121	-16.765	-15.023
0.122	-16.602	-14.872
0.123	-16.439	-14.716
0.124	-16.278	-14.556
0.125	-16.111	-14.390
0.126	-15.938	-14.219
0.127	-15.763	-14.042
0.128	-15.580	-13.861
0.129	-15.394	-13.674
0.130	-15.203	-13.483
0.131	-15.005	-13.284
0.132	-14.801	-13.085
0.133	-14.589	-12.881
0.134	-14.375	-12.671
0.135	-14.154	-12.450
0.136	-13.929	-12.226
0.137	-13.696	-12.000
0.138	-13.455	-11.769
0.139	-13.210	-11.528
0.140	-12.960	-11.284
0.141	-12.704	-11.032
0.142	-12.442	-10.774
0.143	-12.171	-10.512
0.144	-11.894	-10.239
0.145	-11.610	-9.957
0.146	-11.321	-9.672
0.147	-11.023	-9.379
0.148	-10.717	-9.078
0.149	-10.405	-8.769
0.150	-10.087	-8.454
0.151	-9.764	-8.131
0.152	-9.433	-7.801
0.153	-9.091	-7.459
0.154	-8.742	-7.106
0.155	-8.385	-6.759
0.156	-8.017	-6.403
0.157	-7.642	-6.029
0.158	-7.256	-5.644
0.159	-6.864	-5.255
0.160	-6.464	-4.862
0.161	-6.062	-4.460
0.162	-5.655	-4.051
0.163	-5.241	-3.629
0.164	-4.821	-3.204
0.165	-4.390	-2.782
0.166	-3.952	-2.345
0.167	-3.504	-1.893
0.168	-3.045	-1.432
0.169	-2.579	-0.970
0.170	-2.105	-0.504
0.171	-1.627	-0.028
0.172	-1.143	0.456
0.173	-0.651	0.945
0.174	-0.153	1.440
0.175	0.351	1.942
0.176	0.859	2.451
0.177	1.377	2.965
0.178	1.906	3.487
0.179	2.430	4.012
0.180	2.961	4.540
0.181	3.510	5.079
0.182	4.064	5.624
0.183	4.620	6.171
0.184	5.179	6.724
0.185	5.739	7.281
0.186	6.303	7.841
0.187	6.869	8.404
0.188	7.440	8.971
0.189	8.001	9.539
0.190	8.573	10.108
0.191	9.154	10.683
0.192	9.732	11.258
0.193	10.311	11.832
0.194	10.888	12.407
0.195	11.468	12.982
0.196	12.047	13.556
0.197	12.622	14.129
0.198	13.199	14.706
0.199	13.773	15.283
0.200	14.344	15.861
0.201	14.912	16.437
0.202	15.479	17.008
0.203	16.046	17.576
0.204	16.608	18.139
0.205	17.168	18.699
0.206	17.720	19.252
0.207	18.266	19.796
0.208	18.805	20.338
0.209	19.337	20.875
0.210	19.859	21.406
0.211	20.376	21.926
0.212	20.889	22.439
0.213	21.394	22.947
0.214	21.892	23.444
0.215	22.386	23.936
0.216	22.869	24.415
0.217	23.343	24.886
0.218	23.802	25.346
0.219	24.253	25.796
0.220	24.691	26.236
0.221	25.118	26.662
0.222	25.533	27.079
0.223	25.937	27.489
0.224	26.328	27.884
0.225	26.708	28.260
0.226	27.074	28.625
0.227	27.427	28.987
0.228	27.766	29.333
0.229	28.089	29.662
0.230	28.397	29.975
0.231	28.692	30.274
0.232	28.972	30.562
0.233	29.240	30.837
0.234	29.492	31.090
0.235	29.728	31.323
0.236	29.951	31.550
0.237	30.159	31.765
0.238	30.351	31.960
0.239	30.528	32.137
0.240	30.688	32.300
0.241	30.837	32.451
0.242	30.970	32.588
0.243	31.091	32.711
0.244	31.195	32.816
0.245	31.285	32.907
0.246	31.363	32.983
0.247	31.424	33.044
0.248	31.467	33.091
0.249	31.495	33.126
0.250	31.508	33.146
0.251	31.519	33.153
0.252	31.518	33.150
0.253	31.505	33.133
0.254	31.479	33.104
0.255	31.443	33.062
0.256	31.400	33.010
0.257	31.342	32.944
0.258	31.266	32.869
0.259	31.178	32.783
0.260	31.082	32.685
0.261	30.984	32.580
0.262	30.871	32.466
0.263	30.747	32.341
0.264	30.615	32.210
0.265	30.476	32.070
0.266	30.333	31.923
0.267	30.182	31.767
0.268	30.020	31.605
0.269	29.854	31.440
0.270	29.682	31.267
0.271	29.506	31.090
0.272	29.321	30.907
0.273	29.136	30.721
0.274	28.945	30.531
0.275	28.750	30.336
0.276	28.552	30.138
0.277	28.352	29.931
0.278	28.145	29.722
0.279	27.937	29.515
0.280	27.727	29.300
0.281	27.517	29.085
0.282	27.303	28.866
0.283	27.089	28.648
0.284	26.871	28.429
0.285	26.655	28.211
0.286	26.437	27.990
0.287	26.223	27.767
0.288	26.003	27.546
0.289	25.785	27.328
0.290	25.566	27.106
0.291	25.350	26.886
0.292	25.130	26.668
0.293	24.912	26.456
0.294	24.694	26.239
0.295	24.480	26.014
0.296	24.268	25.799
0.297	24.058	25.590
0.298	23.845	25.376
0.299	23.637	25.164
0.300	23.429	24.955
0.301	23.219	24.752
0.302	23.009	24.554
0.303	22.802	24.357
0.304	22.598	24.151
0.305	22.392	23.946
0.306	22.191	23.753
0.307	21.991	23.557
0.308	21.793	23.354
0.309	21.602	23.156
0.310	21.409	22.959
0.311	21.217	22.766
0.312	21.027	22.573
0.313	20.843	22.380
0.314	20.662	22.192
0.315	20.480	22.008
0.316	20.302	21.825
0.317	20.130	21.644
0.318	19.958	21.464
0.319	19.779	21.289
0.320	19.603	21.115
0.321	19.437	20.942
0.322	19.274	20.773
0.323	19.111	20.605
0.324	18.949	20.440
0.325	18.790	20.278
0.326	18.635	20.116
0.327	18.487	19.955
0.328	18.331	19.794
0.329	18.171	19.636
0.330	18.021	19.482
0.331	17.879	19.330
0.332	17.734	19.180
0.333	17.587	19.033
0.334	17.440	18.887
0.335	17.299	18.745
0.336	17.157	18.604
0.337	17.019	18.462
0.338	16.882	18.322
0.339	16.747	18.185
0.340	16.615	18.052
0.341	16.485	17.921
0.342	16.356	17.791
0.343	16.226	17.664
0.344	16.098	17.537
0.345	15.974	17.414
0.346	15.850	17.286
0.347	15.730	17.160
0.348	15.612	17.037
0.349	15.496	16.915
0.350	15.380	16.793
0.351	15.264	16.674
0.352	15.150	16.557
0.353	15.035	16.443
0.354	14.925	16.331
0.355	14.817	16.220
0.356	14.709	16.109
0.357	14.604	16.000
0.358	14.501	15.895
0.359	14.400	15.789
0.360	14.296	15.684
0.361	14.195	15.579
0.362	14.094	15.484
0.363	13.995	15.382
0.364	13.898	15.278
0.365	13.800	15.177
0.366	13.705	15.087
0.367	13.611	14.999
0.368	13.519	14.907
0.369	13.432	14.815
0.370	13.342	14.725
0.371	13.254	14.638
0.372	13.166	14.555
0.373	13.082	14.464
0.374	12.998	14.373
0.375	12.910	14.287
0.376	12.825	14.208
0.377	12.740	14.126
0.378	12.657	14.040
0.379	12.577	13.958
0.380	12.495	13.876
0.381	12.417	13.796
0.382	12.342	13.715
0.383	12.269	13.638
0.384	12.195	13.562
0.385	12.117	13.485
0.386	12.043	13.410
0.387	11.975	13.334
0.388	11.902	13.260
0.389	11.822	13.188
0.390	11.745	13.111
0.391	11.682	13.036
0.392	11.619	12.963
0.393	11.554	12.891
0.394	11.489	12.821
0.395	11.427	12.753
0.396	11.365	12.687
0.397	11.309	12.619
0.398	11.239	12.554
0.399	11.166	12.489
0.400	11.100	12.423
0.401	11.041	12.359
0.402	10.980	12.295
0.403	10.917	12.232
0.404	10.856	12.169
0.405	10.796	12.107
0.406	10.737	12.048
0.407	10.678	11.988
0.408	10.616	11.929
0.409	10.558	11.869
0.410	10.501	11.811
0.411	10.445	11.753
0.412	10.389	11.696
0.413	10.335	11.640
0.414	10.280	11.583
0.415	10.224	11.528
0.416	10.170	11.470
0.417	10.115	11.414
0.418	10.062	11.357
0.419	10.011	11.302
0.420	9.959	11.247
0.421	9.908	11.193
0.422	9.858	11.139
0.423	9.810	11.087
0.424	9.762	11.036
0.425	9.714	10.985
0.426	9.667	10.933
0.427	9.618	10.885
0.428	9.568	10.837
0.429	9.519	10.789
0.430	9.470	10.739
0.431	9.422	10.692
0.432	9.375	10.644
0.433	9.331	10.600
0.434	9.287	10.554
0.435	9.243	10.511
0.436	9.198	10.475
0.437	9.152	10.437
0.438	9.107	10.393
0.439	9.063	10.348
0.440	9.021	10.303
0.441	8.978	10.260
0.442	8.939	10.214
0.443	8.899	10.170
0.444	8.858	10.124
0.445	8.817	10.085
0.446	8.774	10.048
0.447	8.733	10.005
0.448	8.692	9.960
0.449	8.651	9.917
0.450	8.613	9.878
0.451	8.574	9.837
0.452	8.536	9.796
0.453	8.497	9.756
0.454	8.458	9.718
0.455	8.418	9.680
0.456	8.379	9.641
0.457	8.343	9.601
0.458	8.311	9.562
0.459	8.275	9.523
0.460	8.247	9.487
0.461	8.223	9.450
0.462	8.195	9.413
0.463	8.162	9.378
0.464	8.130	9.343
0.465	8.095	9.310
0.466	8.061	9.275
0.467	8.027	9.239
0.468	7.992	9.205
0.469	7.954	9.171
0.470	7.926	9.137
0.471	7.899	9.102
0.472	7.867	9.067
0.473	7.835	9.033
0.474	7.805	8.998
0.475	7.775	8.964
0.476	7.745	8.930
0.477	7.712	8.897
0.478	7.679	8.866
0.479	7.646	8.833
0.480	7.616	8.802
0.481	7.585	8.770
0.482	7.553	8.738
0.483	7.523	8.707
0.484	7.493	8.678
0.485	7.464	8.648
0.486	7.437	8.617
0.487	7.409	8.587
0.488	7.381	8.557
0.489	7.351	8.524
0.490	7.322	8.492
0.491	7.291	8.459
0.492	7.261	8.428
0.493	7.233	8.399
0.494	7.205	8.372
0.495	7.178	8.343
0.496	7.159	8.317
0.497	7.129	8.286
0.498	7.105	8.256
0.499	7.078	8.226
